40362 0 D1779372 4
993153 0 D3315618 5
993153 0 D3168809 1
993153 0 D972633 1
993153 0 D3150383 1
440362 0 D343110 2
440362 0 D1257061 4
440362 0 D269888 1
440362 0 D2477398 2
440362 0 D21805 1
440362 0 D2528820 4
993153 0 D1749594 3
993153 0 D816425 3
993153 0 D755054 1
993153 0 D3126270 1
993153 0 D3511837 4
92542 0 D184327 3
993153 0 D115101 2
993153 0 D2175763 5
440362 0 D1174159 1
993153 0 D685139 3
440362 0 D343112 2
92542 0 D2277439 4
92542 0 D1733650 2
92542 0 D695606 2
92542 0 D1606966 2
1003875 0 D1438110 3
1003875 0 D1083071 1
1003875 0 D1438108 2
92542 0 D49181 2
1003875 0 D1083071 2
92542 0 D340121 2
92542 0 D1884483 4
440362 0 D343112 2
1003875 0 D1438108 4
92542 0 D2477399 3
92542 0 D1118594 3
1003875 0 D1438110 2
1003875 0 D487732 5
1003875 0 D2917050 3
426442 0 D2651944 3
1003875 0 D2875831 2
1003875 0 D2917050 1
426442 0 D2651943 3
1003875 0 D2477398 5
426442 0 D3300102 2
1003875 0 D2423309 1
426442 0 D2651945 1
426442 0 D2651945 1
1003875 0 D2875831 1
426442 0 D3032512 1
426442 0 D2651943 1
1003875 0 D2917051 2
426442 0 D682475 4
426442 0 D682475 1
785721 0 D1463427 1
426442 0 D2813707 1
785721 0 D2477399 1
785721 0 D2477399 5
785721 0 D455502 2
785721 0 D627237 2
785721 0 D1276446 2
785721 0 D455502 1
785721 0 D2477399 2
741392 0 D388117 5
785721 0 D630974 5
741392 0 D941982 2
785721 0 D1719825 5
785721 0 D2717391 5
741392 0 D941985 1
741392 0 D388117 2
741392 0 D2345489 5
741392 0 D492484 5
741392 0 D661944 5
741392 0 D2762945 5
785721 0 D627238 5
785721 0 D1719825 1
741392 0 D1733650 5
741392 0 D1733650 3
30860 0 D405379 3
30860 0 D1827881 1
30860 0 D1955110 2
30860 0 D3354192 1
30860 0 D219927 1
30860 0 D1827881 1
1040461 0 D1032151 1
30860 0 D1314466 1
30860 0 D1523143 1
30860 0 D2361529 1
1040461 0 D3051579 1
30860 0 D1232778 4
30860 0 D1523143 4
1040461 0 D984991 1
1040461 0 D3051579 4
30860 0 D219931 5
1040461 0 D2219111 1
1040461 0 D3051580 2
30860 0 D1232778 4
30860 0 D1827881 5
1040461 0 D2855864 1
1040461 0 D2617769 1
1040461 0 D3051579 2
30860 0 D1344184 5
1040461 0 D1851652 1
758519 0 D1442483 1
758519 0 D3140387 5
1040461 0 D3547413 3
1040461 0 D1493672 1
758519 0 D2060571 3
758519 0 D57488 3
758519 0 D2060569 1
758519 0 D810231 5
758519 0 D2501785 4
242107 0 D3205659 3
242107 0 D908387 3
758519 0 D2060569 1
242107 0 D3205659 4
242107 0 D344653 4
904389 0 D1087378 4
242107 0 D344653 1
242107 0 D3205659 4
242107 0 D344653 3
904389 0 D319541 4
242107 0 D3205659 1
242107 0 D3205659 3
242107 0 D344653 4
242107 0 D1042630 4
1049791 0 D1087471 3
904389 0 D1087379 1
904389 0 D814259 2
904389 0 D319544 5
904389 0 D908387 1
904389 0 D3392172 1
1086248 0 D2334129 4
1086248 0 D2477398 3
1086248 0 D2334129 3
1086248 0 D2334129 3
1086248 0 D2334129 4
1086248 0 D2833352 4
1086248 0 D2477398 2
1049791 0 D164630 3
1086248 0 D2334129 5
1086248 0 D1075883 5
1086248 0 D2839635 4
1086248 0 D61467 3
1091688 0 D352638 4
1086248 0 D1720510 1
1086248 0 D1075883 4
1086248 0 D2334129 3
1091688 0 D2139344 3
1086248 0 D2334129 1
1091688 0 D3155337 4
1086248 0 D2477398 2
1091688 0 D298070 3
117113 0 D1565160 1
1091688 0 D2112758 2
117113 0 D1944056 1
117113 0 D1944056 3
117113 0 D1648197 4
117113 0 D933776 3
117113 0 D1661046 4
1007473 0 D496825 3
1007473 0 D404762 4
117113 0 D1852373 4
1007473 0 D1120957 3
1007473 0 D61352 3
1007473 0 D506626 3
1007473 0 D741610 5
117113 0 D465474 2
117113 0 D2397962 4
117113 0 D1834394 5
1007473 0 D2669213 4
117113 0 D465474 4
117113 0 D2050065 4
54819 0 D2477398 3
54819 0 D1066962 1
54819 0 D2477398 1
1007473 0 D506629 1
1007473 0 D731103 4
208494 0 D2555699 3
54819 0 D2034311 4
54819 0 D1709080 1
54819 0 D3560091 1
54819 0 D160241 3
54819 0 D160241 2
54819 0 D307444 1
54819 0 D160240 2
208494 0 D622084 1
208494 0 D204806 1
208494 0 D2345489 1
208494 0 D2555699 1
208494 0 D909347 5
414155 0 D381366 1
414155 0 D434332 1
414155 0 D2204007 1
414155 0 D1283836 1
414155 0 D2477398 1
414155 0 D2477398 5
414155 0 D253041 3
414155 0 D3279197 1
414155 0 D798844 4
208494 0 D3142911 1
414155 0 D1494230 1
640846 0 D442752 1
414155 0 D2151064 3
414155 0 D246131 1
640846 0 D1027071 3
640846 0 D2647225 5
414155 0 D568828 3
640846 0 D850175 5
414155 0 D678517 5
640846 0 D2477398 1
640846 0 D1426992 2
640846 0 D2325944 3
689885 0 D2223356 5
640846 0 D85854 1
640846 0 D2325944 3
689885 0 D2223351 5
640846 0 D688916 2
689885 0 D2223351 5
689885 0 D3270735 3
689885 0 D2223354 3
689885 0 D2378284 5
689885 0 D2223355 1
640846 0 D1426993 3
640846 0 D1426991 5
640846 0 D2325944 2
1095876 0 D1663720 5
640846 0 D2561494 1
